what	file	became
renamed	megadrive/Vectorman 2 (USA).zip	megadrive/Vectorman 2 (USA) (Beta 1).zip
renamed	megadrive/Incredible Crash Dummies, The (USA, Europe).zip	megadrive/Incredible Crash Dummies, The (USA, Europe) (Beta).zip
renamed	megadrive/Clay Fighter (USA).zip	megadrive/ClayFighter (Europe).zip
renamed	megadrive/Chuck Rock II - Son of Chuck (USA).zip	megadrive/Chuck Rock II - Son of Chuck (Europe).zip
renamed	megadrive/AWS Pro Moves Soccer (USA).zip	megadrive/Pro Moves Soccer (USA).zip
renamed	megadrive/Shikinjoh (Japan).zip	megadrive/Chelnov (Japan).zip
renamed	megadrive/Rambo III (World).zip	megadrive/Rambo III (USA, Europe, Korea) (En,Ja) (Rev A).zip
renamed	megadrive/Fantasia (World).zip	megadrive/Fantasia (USA, Europe).zip
renamed	megadrive/Dragon's Lair - The Adventure Continues (USA) (Proto).zip	megadrive/Dragon's Lair (USA) (Proto).zip
renamed	megadrive/FIFA Soccer 95 (USA, Europe).zip	megadrive/FIFA Soccer 95 (Korea) (En,Fr,De,Es).zip
renamed	megadrive/Monopoly (USA).zip	megadrive/Monopoly (USA) (Beta).zip
renamed	megadrive/HardBall '95 (USA).zip	megadrive/HardBall '94 (USA, Europe).zip
renamed	megadrive/Duke Nukem 3D (Brazil).zip	megadrive/Duke Nukem 3D (Brazil) (En).zip
renamed	megadrive/Side Pocket (USA).zip	megadrive/Side Pocket (Japan, Korea) (En).zip
renamed	megadrive/Nightmare Circus (Brazil).zip	megadrive/Nightmare Circus (Brazil) (En).zip
renamed	megadrive/Phantasy Star III - Generations of Doom (USA, Europe).zip	megadrive/Phantasy Star III - Generations of Doom (USA, Europe, Korea) (En).zip
renamed	megadrive/Indiana Jones and the Last Crusade (USA).zip	megadrive/Indiana Jones and the Last Crusade (Europe).zip
renamed	megadrive/Puyo Puyo 2 (Japan).zip	megadrive/Puyo Puyo Tsuu (Japan).zip
renamed	megadrive/Aladdin (USA).zip	megadrive/Aladdin (Japan).zip
renamed	megadrive/Shogi no Hoshi (Japan).zip	megadrive/天下統一 (Japan).zip
renamed	megadrive/Aworg (Japan).zip	megadrive/Gynoug (Japan, En).zip
renamed	megadrive/Ninja Gaiden (Japan) (Proto).zip	megadrive/Sonic Crackers (USA, Proto).zip
renamed	megadrive/Newman Haas Indy Car Featuring Nigel Mansell (World).zip	megadrive/Newman Haas IndyCar Featuring Nigel Mansell (World).zip
renamed	megadrive/Super Tank War (China) (Unl).zip	megadrive/Ah Q Lianhuan Pao (Taiwan).zip
renamed	megadrive/Greatest Heavyweights (USA).zip	megadrive/Greatest Heavyweights (Japan) (En).zip
renamed	megadrive/Cross Fire (USA).zip	megadrive/CrossFire (USA).zip
renamed	megadrive/Where in the World Is Carmen Sandiego (USA, Europe).zip	megadrive/Where in the World Is Carmen Sandiego (USA, Europe) (En,Fr,De,Es,It).zip
renamed	megadrive/Hit the Ice (USA).zip	megadrive/Hit the Ice - VHL - The Official Video Hockey League (USA).zip
renamed	megadrive/Sensible Soccer (Europe).zip	megadrive/Sensible Soccer (Europe) (En,Fr,De,It).zip
renamed	megadrive/Lost Vikings, The (USA).zip	megadrive/Lost Vikings, The (Europe) (En,Fr,De).zip
renamed	megadrive/Chou Kyuukai Miracle Nine (Japan).zip	megadrive/Daikoukai Jidai II (Japan).zip
